Barcode,Title,Status,Type,Location,Genre
LSPUL000012076,125 problems in text algorithms : with solutions,Available,Book,General Collection,Generalities
LSPUL000001036,A+ Guide to managing and maintaining your PC with lab exercises : hardware,Available,Book,General Collection,Generalities
LSPUL000002122,A+ Guide to Managing and Maintaining Your Pc with Lab Exercises : Philippine Edition,Available,Book,General Collection,Generalities
LSPUL000006674,The active newsroom : news reporting stylebook,Available,Book,Filipiniana,Generalities
LSPUL000005993,Active server pages,Not Available,Book,General Collection,Generalities
LSPULCD0000001,Adobe Photoshop CS2 revealed,Available,CD,Multi Media,Generalities
LSPUL000007860,Adobe web collection,Available,Hardcover,General Collection,Generalities
LSPUL000009895,Advanced database management systems,Not Available,Paperback,General Collection,Generalities
LSPUL000008354,Advanced programming languages,Available,Book,General Collection,Generalities
LSPUL000001412,Advanced Qt Programming : Creating Great Software with C++ and Qt 4,Available,Hardcover,General Collection,Generalities
EBOOK000000197,Advances in Tangible and Embodied Interaction for Virtual and Augmented Reality,Available,E-Book,Electronic Resources,Generalities
LSPUL000001353,Advancing the story : broadcast journalism in a multimedia world,Not Available,Book,General Collection,Generalities
LSPUL000007572,Algorithms,Available,Book,General Collection,Generalities
LSPUL000000871,An integrated introduction to computer graphics,Available,Paperback,General Collection,Generalities
LSPUL000002103,An introduction to geographic information technology,Available,Hardcover,General Collection,Generalities
LSPUL000007694,An introduction to programming with C++,Available,Paperback,General Collection,Generalities
LSPUL000001068,Analyzing computer security : a threat/vulnerability/countermeasure approach,Available,Book,General Collection,Generalities
LSPUL000008863,Android app development,Available,Book,General Collection,Generalities
LSPUL000001071,"Android, how to program",Not Available,Book,General Collection,Generalities
EBOOK000000199,Applications of Augmented Reality,Available,E-Book,Electronic Resources,Generalities
LSPUL000009671,The elements of inquiry : research and methods for a quality dissertation,Available,Book,General Collection,Generalities
LSPULCD0001369,Embedded C programming and the microchip PIC,Available,CD,Non-Print Section,Generalities
LSPUL000009681,Embodiment in qualitative research,Available,Book,General Collection,Generalities
LSPUL000009270,Empowerment technologies making small shifts towards a big difference for senior high school,Available,Paperback,Filipiniana,Generalities
LSPUL000003467,Introduction to the humanities,Not Available,Paperback,Filipiniana,Generalities
LSPUL000008353,Java and web design,Available,Book,General Collection,Generalities
LSPUL000011480,Java illuminated : an active learning approach,Available,Book,General Collection,Generalities
LSPUL000009482,"Journalism and climate crisis : public engagement, media alternatives",Available,Book,General Collection,Generalities
LSPUL000008339,Journalism as activism : recoding media power,Available,Book,General Collection,Generalities
LSPUL000002138,Journalism for Filipinos,Available,Paperback,Filipiniana,Generalities
LSPUL000009558,The journalist's companion,Not Available,Book,General Collection,Generalities
LSPUL000004204,Key readings in journalism,Available,Book,General Collection,Generalities
LSPUL000010545,Keyboarding and word processing,Available,Book,General Collection,Generalities
EBOOK000000015,"Knowledge Engineering and Knowledge Management: 22nd International Conference, EKAW 2020 Bolzano, Italy, September 16–20, 2020 Proceedings",Available,E-Book,Electronic Resources,Generalities
EBOOK000000014,"Knowledge management in organizations: 14th International Conference, KMO 2019 Zamora, Spain, July 15-18, 2019 Proceedings",Not Available,E-Book,Electronic Resources,Generalities
EBOOK000000007,Leadership OS: The operating system you need to succeed,Available,E-Book,Electronic Resources,Generalities
LSPUL000004548,Library instruction design : learning from Google and Apple,Available,Book,General Collection,Generalities
LSPUL000005622,A line out for a walk : familiar essays,Available,Book,Fiction,Generalities
LSPUL000009533,Living in the information technology era,Available,Paperback,Filipiniana,Generalities
LSPUL000012084,Machine learning fundamentals : a concise introduction,Available,Book,General Collection,Generalities
LSPUL000002017,Photoshop elements 14 for dummies,Available,Paperback,General Collection,Generalities
LSPUL000002156,PHP 5/MySQL programming for the absolute beginner,Not Available,Book,General Collection,Generalities
LSPUL000002199,PHP and MySQL : creating database-driven dynamic websites,Available,Paperback,Filipiniana,Generalities
LSPUL000001278,A practical approach to database systems,Available,Paperback,General Collection,Generalities
LSPUL000000429,Practical approach to information acommunication technology [volume 1],Available,Paperback,General Collection,Generalities
LSPUL000000431,Practical approach to information communication technology [volume 2],Available,Paperback,General Collection,Generalities
LSPUL000010752,A Practical Introduction to Enterprise Network and Security Management,Available,Hardcover,General Collection,Generalities
LSPUL000001411,Principles of Compiler Design,Available,Book,General Collection,Generalities
